Country,Party,PartyName,Dimension,Scale,Mean,SD,N,Vote_Share,Election_Date
13,SLD,14,2,2,11.51612949,4.178284645,31,37.96,2001
13,SLD,14,3,1,8.266666412,3.139661074,30,37.96,2001
13,SLD,14,3,2,12.0967741,3.824088812,31,37.96,2001
13,SLD,14,4,1,18.34375,1.515710711,32,37.96,2001
13,SLD,14,4,2,18.3125,1.925005198,32,37.96,2001
13,SLD,14,5,1,12.62068939,3.707268953,29,37.96,2001
13,SLD,14,5,2,8.533333778,4.16664362,30,37.96,2001
13,SLD,14,6,1,1.375,0.553580701,32,37.96,2001
13,SLD,14,6,2,11.32258034,7.875646591,31,37.96,2001
13,SLD,14,7,1,8.032258034,4.020645618,31,37.96,2001
13,SLD,14,7,2,9.645161629,4.792691708,31,37.96,2001
13,SLD,14,8,1,11.74193573,4.668816566,31,37.96,2001
13,SLD,14,8,2,12.3125,5.12071991,32,37.96,2001
13,SLD,14,9,1,7.03125,3.693799257,32,37.96,2001
13,SLD,14,9,2,8.875,4.484741211,32,37.96,2001
13,SLD,14,10,1,17.06451607,2.475688219,31,37.96,2001
13,SLD,14,10,2,10.53125,6.195650578,32,37.96,2001
13,SLD,14,11,1,6.903225899,2.181052208,31,37.96,2001
13,SLD,14,11,2,10,2.375469923,29,37.96,2001
13,SLD,14,12,1,11.9375,5.060520649,32,37.96,2001
13,SLD,14,12,2,13.35483837,3.322131634,31,37.96,2001
13,SLD,14,13,1,6.032258034,2.428770304,31,37.96,2001
13,SLD,14,99,1,11.37931061,5.164534092,29,37.96,2001
8,SZDSZ,15,1,1,15.17073154,4.061418533,41,5.5,2002
8,SZDSZ,15,1,2,16.21951294,2.953914404,41,5.5,2002
8,SZDSZ,15,2,1,2.299999952,1.604480863,40,5.5,2002
8,SZDSZ,15,2,2,17.75,2.589426279,40,5.5,2002
8,SZDSZ,15,3,1,17.125,2.065435886,40,5.5,2002
8,SZDSZ,15,3,2,16.85000038,2.282036781,40,5.5,2002
8,SZDSZ,15,4,1,19.23077011,0.985728145,39,5.5,2002
8,SZDSZ,15,4,2,18.97435951,1.287330508,39,5.5,2002
8,SZDSZ,15,5,1,10.58333302,4.1013937,36,5.5,2002
8,SZDSZ,15,5,2,12.61111069,3.886075974,36,5.5,2002
8,SZDSZ,15,6,1,8.36585331,4.794559956,41,5.5,2002
8,SZDSZ,15,6,2,11.77499962,4.509178638,40,5.5,2002
8,SZDSZ,15,7,1,4.073170662,3.423377275,41,5.5,2002
8,SZDSZ,15,7,2,11.82499981,5.042829514,40,5.5,2002
8,SZDSZ,15,8,1,3.775000095,3.149989843,40,5.5,2002
8,SZDSZ,15,8,2,16.60000038,4.100031376,40,5.5,2002
8,SZDSZ,15,9,1,4.804878235,3.370604753,41,5.5,2002
8,SZDSZ,15,9,2,13.60975647,5.902872562,41,5.5,2002
8,SZDSZ,15,10,1,17.69230843,3.555232286,39,5.5,2002
8,SZDSZ,15,10,2,12.82051277,6.648591995,39,5.5,2002
8,SZDSZ,15,11,1,3.769230843,2.600218058,39,5.5,2002
8,SZDSZ,15,11,2,13.1315794,4.186019421,38,5.5,2002
8,SZDSZ,15,12,1,5.405405521,3.022686958,37,5.5,2002
8,SZDSZ,15,12,2,14.10810852,3.84984684,37,5.5,2002
8,SZDSZ,15,13,1,8.243902206,2.310632944,41,5.5,2002
8,SZDSZ,15,99,1,9.638889313,5.248960495,36,5.5,2002
64,AE,16,1,1,4.239999771,3.918758392,25,2.8,2003
64,AE,16,1,2,17.45833397,2.873857737,24,2.8,2003
64,AE,16,2,1,9.263157845,2.940939188,19,2.8,2003
64,AE,16,2,2,4.478260994,3.603906631,23,2.8,2003
64,AE,16,5,1,12.05263138,3.205441236,19,2.8,2003
64,AE,16,5,2,6.454545498,5.298043251,22,2.8,2003
64,AE,16,10,1,13.04166698,2.926329851,24,2.8,2003
64,AE,16,10,2,7.125,4.561774254,24,2.8,2003
64,AE,16,13,1,6.666666508,2.645751238,27,2.8,2003
64,AE,16,22,1,3.653846264,1.853479028,26,2.8,2003
64,AE,16,22,2,17.07692337,2.365131378,26,2.8,2003
64,AE,16,29,1,8.291666985,2.367886066,24,2.8,2003
64,AE,16,29,2,7.960000038,4.586937904,25,2.8,2003
64,AE,16,30,1,8.239999771,2.554081678,25,2.8,2003
64,AE,16,30,2,8.720000267,4.306197166,25,2.8,2003
64,AE,16,99,1,8.359999657,3.89315629,25,2.8,2003
76,ANAP,17,1,1,11.88461494,5.948626041,26,5.1,2002
76,ANAP,17,1,2,13.88000011,4.728636265,25,5.1,2002
76,ANAP,17,2,1,12.20833302,4.872096062,24,5.1,2002
76,ANAP,17,2,2,8.119999886,5.6444664,25,5.1,2002
76,ANAP,17,4,1,18.53846169,2.044128656,26,5.1,2002
76,ANAP,17,4,2,18.34615326,2.348485708,26,5.1,2002
76,ANAP,17,5,1,15.60000038,4.310839176,25,5.1,2002
76,ANAP,17,5,2,8.680000305,6.018859386,25,5.1,2002
76,ANAP,17,9,1,10.40740776,3.58693409,27,5.1,2002
76,ANAP,17,9,2,12.22222233,3.640935421,27,5.1,2002
76,ANAP,17,10,1,11.30769253,3.472972631,26,5.1,2002
76,ANAP,17,10,2,13.03846169,3.364292145,26,5.1,2002
76,ANAP,17,12,1,7.230769157,4.329505444,26,5.1,2002
76,ANAP,17,12,2,13.73076916,4.341038704,26,5.1,2002
76,ANAP,17,13,1,12.89285755,1.852711439,28,5.1,2002
76,ANAP,17,19,1,8.941176414,3.472581625,17,5.1,2002
76,ANAP,17,19,2,8.944444656,4.595038414,18,5.1,2002
76,ANAP,17,21,1,4.800000191,2.73861289,25,5.1,2002
76,ANAP,17,21,2,13.35999966,3.828402519,25,5.1,2002
76,ANAP,17,22,1,16.5,4.562893867,26,5.1,2002
76,ANAP,17,22,2,16.44000053,4.454211712,25,5.1,2002
76,ANAP,17,99,1,12.76923084,5.233031273,26,5.1,2002
56,AKEL,18,1,1,6,4.546060562,4,34.7,2001
56,AKEL,18,1,2,17,0.816496611,4,34.7,2001
56,AKEL,18,2,1,12.75,5.737304688,4,34.7,2001
56,AKEL,18,2,2,10.75,5.678908348,4,34.7,2001
56,AKEL,18,4,1,12.75,5.123475552,4,34.7,2001
56,AKEL,18,4,2,15.75,4.573474407,4,34.7,2001
56,AKEL,18,5,1,7.75,2.061552763,4,34.7,2001
56,AKEL,18,5,2,10,5,3,34.7,2001
56,AKEL,18,12,1,14,4.242640495,4,34.7,2001
56,AKEL,18,12,2,15,3.464101553,4,34.7,2001
56,AKEL,18,13,1,3,1.414213538,4,34.7,2001
56,AKEL,18,19,1,7.5,1.290994406,4,34.7,2001
56,AKEL,18,19,2,11,3.559026003,4,34.7,2001
56,AKEL,18,21,1,14,4.760952473,4,34.7,2001
56,AKEL,18,21,2,16.25,1.5,4,34.7,2001
56,AKEL,18,22,1,3,1.825741887,4,34.7,2001
56,AKEL,18,22,2,17.25,0.957427084,4,34.7,2001
56,AKEL,18,99,1,15.75,7.228415966,4,34.7,2001
6,SNK,19,1,1,12.375,3.669053793,24,2.78,2002
6,SNK,19,1,2,10.57692337,4.518168449,26,2.78,2002
6,SNK,19,2,1,8.960000038,4.315475941,25,2.78,2002
6,SNK,19,2,2,8.159999847,5.489990711,25,2.78,2002
6,SNK,19,3,1,13.5,4.128374577,24,2.78,2002
6,SNK,19,3,2,11.875,4.684038639,24,2.78,2002
6,SNK,19,4,1,15.375,3.385551214,24,2.78,2002
6,SNK,19,4,2,11.652174,5.014603138,23,2.78,2002
6,SNK,19,5,1,10.70833302,4.496173859,24,2.78,2002
6,SNK,19,5,2,11.29166698,5.393064499,24,2.78,2002
6,SNK,19,6,1,11.20833302,4.863163948,24,2.78,2002
6,SNK,19,6,2,8.833333015,5.354125977,24,2.78,2002
6,SNK,19,7,1,9.434782982,3.641005039,23,2.78,2002
6,SNK,19,7,2,9.043478012,4.894136429,23,2.78,2002
6,SNK,19,8,1,7.75,3.744561195,24,2.78,2002
6,SNK,19,8,2,10.125,6.145429611,24,2.78,2002
6,SNK,19,9,1,9.958333015,4.026857376,24,2.78,2002
6,SNK,19,9,2,8.875,4.552233219,24,2.78,2002
6,SNK,19,10,1,12.30434799,4.903011799,23,2.78,2002
6,SNK,19,10,2,7.708333492,5.245944023,24,2.78,2002
6,SNK,19,11,1,11.39999962,4.690415859,25,2.78,2002
6,SNK,19,11,2,10.54166698,5.124359131,24,2.78,2002
6,SNK,19,12,1,3.5,2.340568542,24,2.78,2002
6,SNK,19,12,2,16.25,4.503621578,24,2.78,2002
6,SNK,19,13,1,11.47999954,3.029301405,25,2.78,2002
6,SNK,19,99,1,11.5,5.021692276,24,2.78,2002
51,AD,20,1,1,7.400000095,3.246976614,15,5.4,2001
51,AD,20,1,2,12.46666622,5.054936409,15,5.4,2001
51,AD,20,2,1,3.200000048,1.373213172,15,5.4,2001
51,AD,20,2,2,15.80000019,2.67795229,15,5.4,2001
51,AD,20,5,1,5.199999809,2.833473444,15,5.4,2001
51,AD,20,5,2,16.39999962,2.35432744,15,5.4,2001
51,AD,20,12,1,10.15384579,3.670743704,13,5.4,2001
51,AD,20,12,2,10.15384579,4.25922823,13,5.4,2001
51,AD,20,13,1,7.800000191,3.028436661,15,5.4,2001
51,AD,20,19,1,4.5,2.710378885,14,5.4,2001
51,AD,20,19,2,14.28571415,4.322189331,14,5.4,2001
51,AD,20,22,1,7.933333397,3.534860373,15,5.4,2001
51,AD,20,22,2,13.19999981,4.003569603,15,5.4,2001
51,AD,20,27,1,4.866666794,3.067494631,15,5.4,2001
51,AD,20,27,2,14.33333302,4.592955112,15,5.4,2001
51,AD,20,28,1,14.78571415,2.91359067,14,5.4,2001
51,AD,20,28,2,12.0714283,4.322824478,14,5.4,2001
51,AD,20,99,1,7.333333492,3.15473938,15,5.4,2001
51,GRN,21,1,1,3.466666698,1.846489549,15,5,2001
51,GRN,21,1,2,14.0666666,3.954503059,15,5,2001
51,GRN,21,2,1,2.066666603,1.279881001,15,5,2001
51,GRN,21,2,2,16.86666679,2.294921875,15,5,2001
51,GRN,21,5,1,1.533333302,1.12546289,15,5,2001
51,GRN,21,5,2,19.53333282,1.060098886,15,5,2001
51,GRN,21,12,1,7.571428776,5.51521349,14,5,2001
51,GRN,21,12,2,14.4285717,4.60291338,14,5,2001
51,GRN,21,13,1,3.933333397,1.709915042,15,5,2001
51,GRN,21,19,1,4.230769157,3.320487976,13,5,2001
51,GRN,21,19,2,15,5.307227612,13,5,2001
51,GRN,21,22,1,3,1.772810578,15,5,2001
51,GRN,21,22,2,15.33333302,5.191568375,15,5,2001
51,GRN,21,27,1,2.799999952,1.656157374,15,5,2001
51,GRN,21,27,2,12.80000019,5.821143627,15,5,2001
51,GRN,21,28,1,16.33333397,5.814595699,15,5,2001
51,GRN,21,28,2,15.86666679,4.290632248,15,5,2001
51,GRN,21,99,1,7.199999809,5.401058197,15,5,2001
51,ALP,22,1,1,8.666666985,1.838736653,15,37.8,2001
51,ALP,22,1,2,15.39999962,2.922816753,15,37.8,2001
51,ALP,22,2,1,7.199999809,2.305273533,15,37.8,2001
51,ALP,22,2,2,12.33333302,2.257263422,15,37.8,2001
51,ALP,22,5,1,9.933333397,3.011090517,15,37.8,2001
51,ALP,22,5,2,13.46666622,2.416215181,15,37.8,2001
51,ALP,22,12,1,14.5,2.534379005,14,37.8,2001
51,ALP,22,12,2,11.5,3.695111036,14,37.8,2001
51,ALP,22,13,1,9.866666794,3.020564556,15,37.8,2001
51,ALP,22,19,1,6.928571224,3.315796375,14,37.8,2001
51,ALP,22,19,2,15.14285755,2.905092239,14,37.8,2001
51,ALP,22,22,1,10,2.951996803,15,37.8,2001
51,ALP,22,22,2,15.0666666,3.12745142,15,37.8,2001
51,ALP,22,27,1,3.599999905,1.764733911,15,37.8,2001
51,ALP,22,27,2,18,1.92724824,15,37.8,2001
51,ALP,22,28,1,9.399999619,3.62136507,15,37.8,2001
51,ALP,22,28,2,14.60000038,2.35432744,15,37.8,2001
51,ALP,22,99,1,8.333333015,3.309438229,15,37.8,2001
52,OVP,23,1,1,14.6875,3.439355612,16,42.3,2002
52,OVP,23,1,2,15.0625,3.129829645,16,42.3,2002
52,OVP,23,2,1,16.3125,2.414366722,16,42.3,2002
52,OVP,23,2,2,12.3125,5.338149071,16,42.3,2002
52,OVP,23,5,1,12.5625,1.860779405,16,42.3,2002
52,OVP,23,5,2,12.625,3.480900288,16,42.3,2002
52,OVP,23,12,1,6.133333206,2.899917841,15,42.3,2002
52,OVP,23,12,2,14.26666641,4.096456051,15,42.3,2002
52,OVP,23,13,1,14.3125,1.49303937,16,42.3,2002
52,OVP,23,17,1,6,3.741657495,16,42.3,2002
52,OVP,23,17,2,12.875,3.612478256,16,42.3,2002
52,OVP,23,19,1,13.625,3.364025354,16,42.3,2002
52,OVP,23,19,2,13.3125,2.358495235,16,42.3,2002
52,OVP,23,23,1,10.39999962,3.942443132,15,42.3,2002
52,OVP,23,23,2,10.80000019,2.65114522,15,42.3,2002
52,OVP,23,24,1,9.375,2.680174112,16,42.3,2002
52,OVP,23,24,2,12.1875,2.688710928,16,42.3,2002
52,OVP,23,99,1,11.25,3.890158415,16,42.3,2002
52,SPO,24,1,1,7.5,2.988868237,16,36.5,2002
52,SPO,24,1,2,14.375,3.442382813,16,36.5,2002
52,SPO,24,2,1,6.75,2.23606801,16,36.5,2002
52,SPO,24,2,2,12.25,3.454465628,16,36.5,2002
52,SPO,24,5,1,10.875,3.5,16,36.5,2002
52,SPO,24,5,2,11.6875,3.004857063,16,36.5,2002
52,SPO,24,12,1,13.33333302,3.177300453,15,36.5,2002
52,SPO,24,12,2,11.73333359,3.28343606,15,36.5,2002
52,SPO,24,13,1,8.75,1,16,36.5,2002
52,SPO,24,17,1,10.3125,3.458684683,16,36.5,2002
52,SPO,24,17,2,11.125,3.896579742,16,36.5,2002
52,SPO,24,19,1,8.9375,3.27554059,16,36.5,2002
52,SPO,24,19,2,12.875,2.704933882,16,36.5,2002
52,SPO,24,23,1,8.5625,3.501785278,16,36.5,2002
52,SPO,24,23,2,10.875,2.753785372,16,36.5,2002
52,SPO,24,24,1,9.333333015,3.677473307,15,36.5,2002
52,SPO,24,24,2,11.60000038,2.501428127,15,36.5,2002
52,SPO,24,99,1,9.75,2.720293999,16,36.5,2002
2,BPF,25,1,1,13.39999962,3.977715731,10,2.6,2003
2,BPF,25,1,2,13.39999962,3.470510721,10,2.6,2003
2,BPF,25,3,1,14.30000019,3.683295727,10,2.6,2003
2,BPF,25,3,2,14.89999962,2.923088074,10,2.6,2003
2,BPF,25,4,1,18.89999962,1.663329959,10,2.6,2003
2,BPF,25,4,2,18.70000076,1.494434118,10,2.6,2003
